algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,1701,9501,8
MergeSort,random,10000,1,8468,127132,11
MergeSort,random,100000,6,9257,1639553,14
MergeSort,random,1000000,87,1224,19888477,18
MergeSort,sorted,1000,0,0086,4236,8
MergeSort,sorted,10000,0,1310,59248,11
MergeSort,sorted,100000,2,0587,744016,14
MergeSort,sorted,1000000,21,3219,9071040,18
MergeSort,duplicates,1000,0,0264,9223,8
MergeSort,duplicates,10000,0,3422,121562,11
MergeSort,duplicates,100000,3,6829,1562021,14
MergeSort,duplicates,1000000,44,4230,18922230,18
QuickSort,random,1000,0,1074,17717,22
QuickSort,random,10000,1,4224,250326,34
QuickSort,random,100000,6,9595,3075090,39
QuickSort,random,1000000,83,7125,39151582,49
QuickSort,sorted,1000,0,0319,19081,24
QuickSort,sorted,10000,0,3469,241611,30
QuickSort,sorted,100000,4,1521,3060341,40
QuickSort,sorted,1000000,47,5017,39610207,51
QuickSort,duplicates,1000,0,0112,5091,6
QuickSort,duplicates,10000,0,1070,50201,6
QuickSort,duplicates,100000,1,0467,490240,6
QuickSort,duplicates,1000000,10,2970,5000811,6
QuickSelect,random,1000,0,1835,5474,14
QuickSelect,random,10000,0,5684,68937,19
QuickSelect,random,100000,1,4504,437003,19
QuickSelect,random,1000000,9,5716,4660721,28
QuickSelect,sorted,1000,0,0041,5006,10
QuickSelect,sorted,10000,0,0326,41639,15
QuickSelect,sorted,100000,0,3877,473933,14
QuickSelect,sorted,1000000,3,8108,4594340,25
QuickSelect,duplicates,1000,0,0096,3722,4
QuickSelect,duplicates,10000,0,0841,34890,4
QuickSelect,duplicates,100000,0,8901,380023,5
QuickSelect,duplicates,1000000,9,1829,4303866,5
